order_id,order_date,customer_id,product_id,quantity,sales_amount
1,2025-02-23,10991,2144,3,18468
2,2024-05-03,10239,2024,2,1964
3,2025-02-25,10927,2197,3,5709
4,2024-08-18,10367,2169,3,19341
5,2025-11-20,10168,2077,3,14133
6,2024-03-03,10560,2175,2,14220
7,2025-04-29,10051,2076,1,4374
8,2025-09-19,10811,2069,3,8784
9,2025-12-03,10610,2101,4,30484
10,2025-07-27,10951,2159,2,15274
11,2025-04-27,10728,2092,5,24715
12,2025-06-02,10689,2092,2,9886
13,2024-06-03,10380,2030,1,1487
14,2024-04-01,10474,2018,2,15454
15,2025-06-09,10080,2044,5,35510
16,2025-03-30,10697,2155,4,6192
17,2025-08-20,10367,2099,5,22685
18,2025-10-06,10461,2154,2,15090
19,2025-05-24,10911,2121,5,9710
20,2024-07-01,10539,2115,2,11598
21,2025-01-20,10452,2060,4,16852
22,2025-07-27,10464,2146,4,19036
23,2025-12-31,10960,2056,1,2972
24,2025-02-08,10478,2031,4,32488
25,2024-09-02,10926,2101,3,22863
26,2025-08-13,10420,2059,5,36020
27,2025-10-22,10707,2124,5,29675
28,2025-10-11,10214,2130,2,4652
29,2025-04-15,10369,2097,4,3140
30,2025-02-26,10854,2167,1,6277
31,2024-03-05,10114,2189,1,6906
32,2024-01-13,10754,2107,1,5076
33,2024-07-31,10503,2191,3,22221
34,2024-08-29,10636,2018,4,30908
35,2025-05-07,10817,2145,1,9484
36,2024-07-31,10588,2167,3,18831
37,2025-11-23,10311,2071,5,45165
38,2024-12-03,10469,2106,2,8450
39,2024-06-21,10824,2054,4,23888
40,2025-11-02,10708,2094,4,26396
41,2024-06-12,10863,2076,5,21870
42,2025-04-09,10044,2035,4,6400
43,2025-05-11,10415,2011,4,6288
44,2025-11-30,10698,2061,4,22204
45,2025-01-29,10855,2044,4,28408
46,2025-12-03,10246,2121,3,5826
47,2024-11-03,10949,2068,3,25437
48,2024-07-01,10084,2025,2,7358
49,2025-09-20,10207,2176,4,27720
50,2025-05-24,10151,2160,5,7315
51,2025-12-08,10668,2084,1,7313
52,2025-06-29,10528,2114,2,12924
53,2025-07-17,10165,2132,1,8825
54,2025-09-15,10917,2166,1,1345
55,2025-08-16,10975,2191,4,29628
56,2024-08-14,10145,2175,5,35550
57,2025-03-11,10037,2001,1,7785
58,2025-02-25,10333,2131,1,8129
59,2025-07-07,10403,2086,2,7166
60,2024-01-21,10414,2062,5,14875
61,2025-07-07,10045,2064,5,23775
62,2025-01-31,10402,2145,1,9484
63,2025-09-16,10206,2126,5,23035
64,2024-04-14,10062,2105,2,6570
65,2024-07-10,10420,2062,2,5950
66,2024-01-17,10868,2035,2,3200
67,2024-04-29,10468,2013,4,7264
68,2025-01-27,10820,2163,1,7679
69,2025-02-28,10019,2043,5,36400
70,2024-05-08,10365,2130,2,4652
71,2024-05-09,10300,2184,1,9148
72,2025-07-25,10007,2111,1,840
73,2025-07-13,10761,2128,4,37140
74,2024-01-29,10428,2051,5,28005
75,2024-04-06,10117,2182,5,5945
76,2024-01-10,10580,2144,2,12312
77,2024-08-29,10507,2146,2,9518
78,2024-08-19,10546,2135,1,8764
79,2024-10-10,10706,2045,5,14245
80,2025-12-15,10325,2164,5,42335
81,2025-12-26,10055,2169,2,12894
82,2024-07-18,10778,2042,3,14574
83,2024-03-19,10992,2135,1,8764
84,2024-06-21,10042,2015,5,36535
85,2025-04-11,10297,2060,4,16852
86,2025-08-03,10973,2040,4,5076
87,2025-02-19,10231,2165,3,27702
88,2025-03-24,10453,2194,2,12342
89,2024-03-27,10890,2112,2,6634
90,2024-04-10,10394,2183,2,11350
91,2024-01-08,10522,2077,4,18844
92,2024-07-18,10358,2105,2,6570
93,2025-05-19,10987,2107,4,20304
94,2024-03-27,10444,2122,3,27291
95,2024-02-12,10128,2080,1,9708
96,2025-01-19,10691,2125,5,44675
97,2025-09-12,10405,2184,3,27444
98,2025-03-10,10392,2172,4,9536
99,2025-02-11,10193,2185,3,16734
100,2025-04-27,10604,2134,5,40965
101,2025-10-25,10881,2032,1,7827
102,2024-01-17,10743,2108,5,31410
103,2025-10-06,10078,2114,4,25848
104,2024-05-27,10085,2146,5,23795
105,2024-10-03,10030,2068,3,25437
106,2024-08-19,10725,2127,2,2120
107,2024-12-31,10049,2135,3,26292
108,2024-08-15,10777,2114,4,25848
109,2025-10-12,10145,2008,1,6252
110,2025-03-11,10069,2064,5,23775
111,2025-02-02,10058,2135,1,8764
